code,our_name,poi_name,norm_our_name,norm_poi_name,similarity,our_lat,our_lng,poi_lat,poi_lng,distance_m,our_radius_m,poi_radius_m,active
I104,"Caves Avelar","Caves Avelar","caves avelar","caves avelar",1.00,39.9955212,-8.7549925,39.914009842724,-8.3680381184547,34205,300,50,true
243A,"Amaral e Filhos Ambiente (Armazém Cliente Porto)","Amaral e Filhos - Ambiente","amaral e filhos ambiente armazem cliente porto","amaral e filhos ambiente",1.00,41.160885,-8.628367,41.396693360286,-8.7415379877663,27874,200,50,true
M065,"Propet","Propet","propet","propet",1.00,41.0539987,-8.5694271,41.230113793046,-8.5367191267233,19774,300,50,true
I958,"MMPET","MMpet","mmpet","mmpet",1.00,40.1209447,-8.8508231,40.05892091925,-8.6448995718277,18826,300,50,true
729,"AF Penacova","AF Penacova","af penacova","af penacova",1.00,40.2021364,-8.4566756,40.30477975323,-8.3203723668995,16250,250,50,true
B100,"Ovos CAC","Ovos CAC","ovos cac","ovos cac",1.00,39.729725,-8.792518,39.829790997108,-8.7294635853195,12363,300,150,true
I402,"Ovos do Caramulo","Ovos Caramulo","ovos caramulo","ovos caramulo",1.00,40.565199,-8.168803,40.48542,-8.08911,11138,300,190,true
63,"Lagoa","Auchan Lagoa","lagoa","lagoa",1.00,37.138341,-8.565812,37.13675,-8.4655833333333,8886,250,130,true
I691,"Brioxa","Brioxa","brioxa","brioxa",1.00,41.3404643,-8.4792388,41.273877495877,-8.4631467455974,7525,150,50,true
I534,"Zeltica","Zeltica","zeltica","zeltica",1.00,38.711985,-9.339556,38.756766130532,-9.3803599055573,6109,150,50,true
368,"Florcash Lajes","Florcash","florcash lajes","florcash",1.00,38.8435155011784,-9.17680628010037,38.888666122054,-9.1926324443392,5204,300,50,true
711,"AF Sabugal","AF Sabugal","af sabugal","af sabugal",1.00,40.379639,-7.049818,40.349854205428,-7.082665219574,4326,250,50,true
703,"AF Barcelos – Rio Covo","AF Barcelos","af barcelos rio covo","af barcelos",1.00,41.490456,-8.578477,41.528510660304,-8.5792258895493,4232,250,50,true
B12,"MA Pinhal Novo","Pinhal Novo","pinhal novo","pinhal novo",1.00,38.66026,-8.89455,38.631438223236,-8.9166820051332,3737,250,50,true
283,"Sinal Mágico Supermercados Braga","Sinal Mágico - Braga","sinal magico supermercados braga","sinal magico braga",1.00,41.546805,-8.418419,41.52628,-8.44908,3424,150,50,true
N126,"Nestlé","Nestlé Portugal SA","nestle","nestle portugal sa",1.00,40.804479,-8.618529,40.806256176547,-8.5783424219513,3388,300,140,true
327,"Preço Baixo Balazar","Balazar","preco baixo balazar","balazar",1.00,41.40107,-8.620707,41.41436,-8.65167,2975,300,100,true
708,"AF Pataias","AF Pataias","af pataias","af pataias",1.00,39.688267,-9.000672,39.680408818785,-8.9739055122684,2451,250,70,true
244,"Rui Dinorá Vila Nova Poiares","Rui Dinorá","rui dinora vila nova poiares","rui dinora",1.00,40.21121,-8.259193,40.20156,-8.23739,2140,300,100,true
461,"MA Liber,Bx Banheira","My Auchan Baixa da Banheira","liber bx banheira","baixa banheira",0.50,38.6578521,-9.0698818,38.65383,-9.04667,2065,150,50,true
C763,"Cordeiro e Filhos","Cordeiro e Filhos","cordeiro e filhos","cordeiro e filhos",1.00,37.081099,-7.963979,37.065157831372,-7.9641806322734,1773,300,70,true
724,"AF Beja","AF Beja","af beja","af beja",1.00,38.013944,-7.871142,38.008127149687,-7.8542114055225,1618,250,79,true
K009,"GFS","GFS-Arruda dos Vinhos","gfs","gfs arruda vinhos",1.00,38.9682743,-9.04611,38.969504873697,-9.0291524203867,1472,300,50,true
A91,"MA Venda Pinheiro","Venda do Pinheiro","venda pinheiro","venda pinheiro",1.00,38.92386,-9.2159,38.923075845517,-9.2324085678018,1431,250,50,true
C015,"Renova","Renova","renova","renova",1.00,39.5027349160358,-8.61255974102602,39.492159302576,-8.6070891687632,1266,300,190,true
133,"Preço Baixo Porto","Preço Baixo Porto","preco baixo porto","preco baixo porto",1.00,41.170172,-8.590584,41.18003,-8.58353,1245,300,50,true
P371A,"Decante A","Decante","decante a","decante",1.00,38.736887,-9.216879,38.740638452388,-9.228092431523,1058,291,50,true
C671B,"Sovena Barreiro","Sovena Barreiro","sovena barreiro","sovena barreiro",1.00,38.67763108,-9.0717389,38.669953566465,-9.0680363521149,912,300,50,true
256R,"Fayal Kompras Frutas e Refrigerados (Bitralis STEF)","Fayal Kompras - FRV & REF","fayal kompras frutas e refrigerados bitralis stef","fayal kompras frv ref",0.50,38.824307,-9.096561,38.817547173625,-9.0928637737975,817,100,50,true
256A,"Fayal Kompras Ambiente (Marfrete São João da Talha)","Fayal Kompras - Ambiente","fayal kompras ambiente marfrete sao joao talha","fayal kompras ambiente",1.00,38.824307,-9.096561,38.817698070429,-9.092971499271,798,150,50,true
351A,"Hipercais Ambiente (E.T.E. São João Talha)","Hipercais - Ambiente","hipercais ambiente e t e sao joao talha","hipercais ambiente",1.00,38.824307,-9.096561,38.817708414549,-9.093061353273,794,150,50,true
I990,"Nutre","Nutre","nutre","nutre",1.00,40.5443193,-8.7204768,40.550709428433,-8.7191278556518,720,300,384,true
245,"Rui Dinorá Vila Nova Poiares II","Rui e Dinora ||","rui dinora vila nova poiares ii","rui e dinora",0.67,40.201526,-8.237503,40.1965,-8.24269,712,300,400,true
710,"AF Penamacor","AF Penamacor","af penamacor","af penamacor",1.00,40.169755,-7.171522,40.16392,-7.17303,661,250,50,true
160,"Neomáquinas Benedita","Neomáquinas Benedita","neomaquinas benedita","neomaquinas benedita",1.00,39.423499,-8.985873,39.421955192294,-8.9793714074028,584,300,80,true
M028,"Viticale","Viticale","viticale","viticale",1.00,38.211502,-7.800801,38.206434435407,-7.7997020734491,572,300,50,true
350,"Preço Baixo Viatodos","Preço Baixo Viatodos","preco baixo viatodos","preco baixo viatodos",1.00,41.45145,-8.56346,41.45602176804,-8.5648783506352,522,300,50,true
727,"AF Miranda do Corvo","AF Miranda do Corvo","af miranda corvo","af miranda corvo",1.00,40.092381,-8.330118,40.089180978027,-8.3270418289596,442,250,63,true
402,"MA João XXI","My Auchan João XXI","joao xxi","joao xxi",1.00,38.742387,-9.139655,38.74211198073,-9.1345890666892,440,150,100,true
B029,"Mendes & Gonçalves","Mendes & Gonçalves","mendes goncalves","mendes goncalves",1.00,39.4120104,-8.4866763,39.415449564126,-8.4887480918885,422,300,100,true
