code,arp2_code,name,type,address,locality,latitude,longitude
H58,8092,A Ver-o-Mar,loja,"Rua José Moreira Amorim, nº 723",Póvoa de Varzim,41.40888,-8.77395
E12,7062,A-dos-Cunhados,loja,"Rua 25 de Abril, n.º 3 - Loja R",A-dos-Cunhados,39.15416,-9.30525
B64,9805,Abrantes,loja,Avenida D. João IV,Abrantes,39.46791667,-8.206130556
D48,8925,Abraveses,loja,"Zona Industrial de Abraveses, S/N",Viseu,40.679606,-7.922715
A82,9784,Abrigada,loja,"Cruzinha, Lt 29",Abrigada,39.1424,-9.01722
DAF,,ACRV,oficina,"Quinta das Areias, Várzea",Castanheira do Ribatejo,38.9796657226468,-8.976714550831074
I472,,Adega Cooperativa Cantanhede,fornecedor,"Rua Eng.º Amaro da Costa, 117 -",Beira Litoral,40.358408,-8.596503
718,,AF Ariz,loja,Rua Engenheiro Manuel Carneiro Geraldes,Marco Canaveses,41.1159611,-8.2164352
703,,AF Barcelos – Rio Covo,loja,Rua de Santa Eugenia nº7 – Freguesia de Rio Couvo,Barcelos,41.490456,-8.578477
724,,AF Beja,loja,"Rua Sousa Porto, Nº 17 e 19",Beja,38.013944,-7.871142
712,,AF Maceira do Lis,loja,"Rua de Leiria, 32",Maceira,39.688184,-8.883077
717,,AF Mértola,loja,Zona Industrial de Beja - Rua dos Marceneiros 16,Beja,38.020406,-7.852328
727,,AF Miranda do Corvo,loja,"Rua João Paulo II, Nº21",Coimbra,40.092381,-8.330118
714,,AF Montemor - O -Velho,loja,Rua do lavaris - Pelamos-,Carapinheira,40.178106,-8.681969
708,,AF Pataias,loja,Avenida Dom Dinis n.50,Pataias,39.688267,-9.000672
729,,AF Penacova,loja,Rua Principal da Espinheira 404,"Sazes Do Lorvao, Penacova, Coimbra",40.2021364,-8.4566756
710,,AF Penamacor,loja,Zona Ind. Cabeça de Porca,Penamacor,40.169755,-7.171522
739,,"AF Quinta do Janeiro, Almada",loja,"R. António Sérgio, 1D",Almada,38.6652234364153,-9.15630891386632
711,,AF Sabugal,loja,"Avenida Dr. João Pereira, 20",Sabugal,40.379639,-7.049818
730,,AF Vila Velha Rodão,loja,Av Bela Vista - Vila Velha de Rodão,Castelo Branco,39.657474,-7.67638
B03,9621,Afonso III,loja,"Avenida Afonso III, nº72",Lisboa,38.72625,-9.118736111
C956,,Águas da Penacova,fornecedor,"Lugar Mata Das Caldas, Penacova, Coimbra -",Beira Litoral,40.27902,-8.27154
A605,,Águas de Monchique,fornecedor,Mexilhoeira Grande,,37.1626272,-8.635953
E40,8823,Águeda,loja,"Rua Celestino Neto, S/N",Águeda,40.57234,-8.44463
E30,8042,Aguiar da Beira,loja,"Zona Industrial, lote 9",Aguiar da Beira,40.81117,-7.54418
B78,9833,Albufeira,loja,Vale Paraíso,Albufeira,37.11773056,-8.243422222
F02,7915,Alcácer do Sal,loja,Alameda José Saramago,Alcácer do Sal,38.37570833,-8.509872222
H15,7051,Alcains,loja,"Rua de São Domingos, nº 50",Alcains,39.91552,-7.46666
E97,7714,Alcanena,loja,"Rua da Saudade, Lote 2, R/chão",Alcanena,39.4556755,-8.6677448
A97,9611,Alcântara,loja,Rua dos Lusíadas nº 59,Lisboa,38.70480556,-9.181275
E63,7805,Alcobaça,loja,"Praça João de Deus Ramos, Loja 4 - Lote H, I",Alcobaça,39.5513535,-8.9753526
D58,7747,Alexandre Herculano,loja,"Rua Alexandre Herculano, nº 43",Lisboa,38.72126667,-9.151952778
H26,7601,Alfarim,loja,"Largo das Forças Armadas, Nº6",Sesimbra,38.47698,-9.15988
B92,439,Alfena,loja,"Rua Nossa Senhora da Piedade, nº 331",Alfena,41.237091667,-8.529525
25,,Alfragide,loja,C.Comercial Alegro - Av. dos Cavaleiros,Carnaxide,38.728158,-9.21796
E26,7877,Algés,loja,"Avenida Bombeiros Voluntários de Algés, n.º 54 a 54ª e Rua Margarida Palla, n.º 4",Algés,38.706036111,-9.226191667
A38,2046,Algés,loja,"Rua Major Afonso Pala, 22/30",Algés,38.69892778,-9.228291667
A44,2059,Algueirão,loja,"Estrada de Mem Martins, 274 - Algueirão",Mem-Martins,38.79676111,-9.342019444
D90,7723,Alhandra,loja,"Rua Passos Manuel, nº 12",Alhandra,38.92719722,-9.008077778
F01,7923,Alhos Vedros,loja,"Estrada Nacional 11, Vale Grou",Alhos Vedros,38.65267222,-9.013183333
D49,8907,Alijó,loja,"Rua Dr. César Ferreira, S/N",Alijó,41.276713889,-7.472897222
E14,7066,Aljezur,loja,"Rua da Escola, nº 21",Aljezur,37.31638,-8.79802
F23,,Aljustrel,loja,R. de Santa Bárbara,Aljustrel,37.8727096858189,-8.16806904142731
12,,Almada,loja,Rua António Calado,Almada,38.659912,-9.174984
A40,2048,Almada I,loja,"Rua Heliodoro Salgado, 11/B",Almada,38.68273056,-9.157330556
E49,7735,Almada I,loja,Rua Bernardo Francisco da Costa nº 6 A,Almada,38.68239722,-9.153369444
D73,7721,Almada II,loja,"Rua Capitão Leitão, 87/D",Almada,38.67998889,-9.160222222
A96,9605,Almada II,loja,"Avenida D.Nuno Alvares Pereira, nº 14",Almada,38.67969167,-9.157569444
95,,Almada Natureza,loja,Forum Almada,Almada,38.659912,-9.174984
E43,8832,Almeida,loja,"EN 332 - Bairro de S. Pedro, r/ch",Almeida,40.719130556,-6.901511111
B57,9782,Almirante Reis,loja,"Avenida Almirante Reis, 114",Lisboa,38.731675,-9.134615
E23,7872,Almodôvar,loja,"Rua António Cândido Colaço, S/N",Almodôvar,37.51523,-8.05998
E36,8067,Alpendurada,loja,"Estrada da Barragem, fracção C",Alpendurada,41.09007,-8.25643
B59,9793,Alta de Lisboa,loja,"Rua Helena Vaz da Silva, 7 A",Lisboa,38.77265833,-9.153480556
H03,7005,Alvaiazere,loja,Quinta da Rosa - Alvaiazere,Alvaiazere,39.8167472,-8.3770226
H33,7620,Alvalade do Sado,loja,Rua Duque da Terceira nº 17 - Alvalade do Sado,Santiago do Cacém,37.939755,-8.392103
H78,8620,Alvares,loja,"Rua Hermano Neves, 8",Alvares,40.018514,-8.100364
H40,7644,Alvega,loja,"Rua 5 de Outubro, 54",Alvega,39.4643257,-8.0424618
29,,Alverca,loja,"Quinta das Drogas e da Verdelha, Estrada Nacional N10",Alverca do Ribatejo,38.88831,-9.043897
A48,2078,Alverca,loja,"Rua da Estação, 109 R/C",Alverca,38.89624167,-9.038319444
14,,Amadora,loja,"Centro Comercial UBBO, Casal da Mira - Brandoa",Amadora,38.77677,-9.219259
141,,Amadora Comercio Electrónico,loja,"Centro Comercial Dolce Vita Tejo, Casal da Mira – Brandoa",Amadora,38.77677,-9.219259
A39,2047,Amadora I,loja,"Avenida D.Nuno A.Pereira, 4/A",Amadora,38.75991667,-9.24095
A54,2108,Amadora II,loja,"Largo Dr.Dário Gandra Nunes, 2/A e 2/E",Amadora,38.75833889,-9.234336111
A66,2161,Amadora III,loja,Avenida Gago Coutinho - C.C.Babilónia,Amadora,38.75968,-9.23716
B42,9740,Amadora Mina,loja,"Av. General Humberto Delgado, Nº34",Amadora,38.761433333,-9.233783333
243A,,Amaral e Filhos Ambiente (Armazém Cliente Porto),armazem,"Rua da Póvoa, Armazém 687, Zona Industrial Amorim",Póvoa de Varzim,41.160885,-8.628367
243C,,Amaral e Filhos Congelado (Bitralis STEF),fornecedor,Estrada da Quinta dos Conegos,Carregado,39.035054,-8.969912
D25,8932,Amarante,loja,"Avenida 1º de Maio, s/n",Amarante,41.271955556,-8.076544444
H27,7604,Amareleja,loja,"Rua do Coro, Nº19 A",Amareleja,38.20861,-7.22901
D52,8933,Amares,loja,"Rua 25 de Abril, S/N",Amares,41.630327778,-8.359891667
B11,9652,Amora,loja,"Travessa Guilherme Kjolner, nº 6 A",Amora,38.62577222,-9.115419444
24,,Amoreiras,loja,C.Comercial das Amoreiras - Avª Engº Duarte Pacheco,Lisboa,38.723212,-9.162244
A27,437,Anadia,loja,EN 1/IC2 Malaposta,Anadia,40.44602,-8.45069
357C,,ANGELO C.BRAGA,fornecedor,,,38.9857447632756,-8.96636076475308
357A,,ANGELO C.BRAGA,fornecedor,,,41.1993,-8.62602
Anteo,,Anteo,oficina,"Estrada Nacional 118, 177 C Armazem B3",Salvaterra de Magos,39.01553077669349,-8.798842068470156
4,,APH Exportação - Beletrans,fornecedor,"Lezíria Park Bloco 2, Armazém 5",Forte da Casa,38.869009,-9.056908
4RC,,APH Exportação Refriferado/Congelado - Beletrans,fornecedor,,,38.969401,-9.056565
D50,8953,Arcos de Valdevez,loja,"Rua Soares Pereira ,N 46",Arcos de Valdevez,41.846802778,-8.419844444
D39,8957,Arcozelo,loja,"Estrada Nacional 109 / Rua Heróis da Pátria, s/n",Arcozelo,41.056444444,-8.647061111
A57,2116,Areeiro,loja,"Avenida Padre Manuel da Nobrega, nº 5",Lisboa,38.74312222,-9.133838889
A72,2256,Areosa,loja,"Rua Diamantina, nº 435/461",Porto,41.1805,-8.582686111
A67,2166,Armação de Pera,loja,"Avenida Beira Mar, nº 5 R/C",Armação de Pêra,37.101636,-8.36298
H46,8030,Armamar,loja,"Rua Gaspar e Manuel Cardoso, S/N",Armamar,41.10916,-7.68973
01,,Armazém  Azambuja,centro_distribuicao,Rua da Lezíria do Tejo,Vila Nova da Rainha,39.0430977552197,-8.91879872883603
AUCHAN-03,,ARMAZÉM ALVERCA,armazem,,,38.8860096710356,-9.05620084448319
7001,,Armazém-Azambuja,armazem,"Estrada Nacional 3, Km 5.7 - Pq Ind Da Azambuja, Vila Nova Da Rainha, Lisboa",Maia,39.0427014,-8.9214547
7091,,Armazém-Vialonga,centro_distribuicao,,,38.8860096710356,-9.05620084448319
D44,8915,Arouca,loja,"Quinta do Outeiro, Lugar do Burgo",Arouca,40.92692,-8.26373
E94,7746,Arraiolos,loja,"Largo do Lagar, s/n",Arraiolos,38.72336111,-7.984872222
H34,7627,Arranhó,loja,"Rua 8 de Setembro, nº 42-44, Nossa Senhora da Ajuda",Arruda dos Vinhos,38.95295,-9.13561
B55,9777,Arroja,loja,"Rua Dr. João Santos, 11 r/c dto e r/c esq",Odivelas,38.797211111,-9.191505556
E13,7063,Arronches,loja,"Bairro Novo, Lt. 12",Arronches,39.11939,-7.28532
7005,,Aucham Congelados,armazem,"N3, Vila Nova da Rainha",Vila Nova da Rainha,39.04265530996473,-8.920986142111294
B14,9660,Av Brasil,loja,"Avenida do Brasil, nº 194 - A",Lisboa,38.759225,-9.137511111
32,,Aveiro,loja,Estrada Nacional 109,Aveiro,40.626868,-8.644656
E01,8815,Aveiro,loja,"Avenida Dr. Lourenço Peixinho, nº 134",Aveiro,40.642657,-8.647636
144,,Aveiro Comercio Electrónico,loja,Estrada Nacional 109,Aveiro,40.626868,-8.644656
D08,8835,Aveiro II,loja,"Rua S. Sebastião, 117",Aveiro,40.635124,-8.649075
H05,7012,Avelar,loja,Rua da Fonte da Bucha,Ansião,39.92197,-8.3568
B47,9758,Avenida de Berna,loja,"Rua Marquês Sá da Bandeira, nº120 B",Lisboa,38.73880278,-9.152544444
H23,7112,Avis,loja,"Bairro do Serradão, Nº 2",Avis,39.050380556,-7.887927778
E16,7092,Azambuja,loja,"Rua Jaime da Mota, nº7 A/Z",Azambuja,39.06797,-8.86802
H32,7619,Azinhaga da Golegã,loja,"Rua 25 de Abril, nº2",Azinhaga da Golegã,39.34876,-8.531824
E44,104,Baião,loja,"Rua de Camões, nº 131, 133 e 135",Baião,41.158413889,-8.039316667
F17,B09 - 7705,Baixa da Banheira,loja,"Estrada Nacional 11, nº 3, 5 e 7",Baixa da Banheira,38.661305556,-9.050277778
461-B73,9821,Baixa da Banheira,loja,Rua da Liberdade / Estrada da Amizade,Baixa da Banheira,38.65418611,-9.046830556
D64,7729,Baixa da Banheira,loja,"Rua Padre José Feliciano, 46/8",Barreiro,38.65832778,-9.043316667
E34,8058,Balazar,loja,"Rua da Fábrica, nº 496 R/C",Balazar,41.41452,-8.65053
D80,7766,Barata Salgueiro,loja,"Rua Barata Salgueiro, nº 4",Lisboa,38.72275833,-9.145947222
D09,8848,Barcelos,loja,"Largo Campo 25 de Abril, 49",Barcelos,41.535528,-8.615547
D60,7720,Barreiro,loja,"Rua Professor Egas Moniz, nº 3",Barreiro,38.6617944,-9.0771278
A99,9614,Barreiro I,loja,"Av Alfredo da Silva, nº 32 A",Barreiro,38.660339,-9.079413
E57,7734,Barreiro II,loja,"Rua Bartolomeu Dias, 6A",Barreiro,38.659908,-9.062813
E67,7713,Barreiro III,loja,"Largo da Quinta Grande, nº 19",Barreiro,38.65681944,-9.070922222
D56,8942,Barroselas,loja,"Rua dos Reis Magos s/n, Mujães",Viana do Castelo,41.6482241,-8.7061271
F09,7816,Beja,loja,Mercado Municipal - Rua D. Afonso Henriques,Beja,38.01205,-7.85849
B70,9816,Belas,loja,"Rua Dona Mariana Vitória, Lote 182  Massamá Norte",Belas,38.76255833,-9.277027778
H14,7050,Belmonte,loja,"Rua Pedro Alvares Cabral, nº 107",Belmonte,40.35746,-7.35202
B77,9828,Benavente,loja,"Rua Dr.António Sousa Dias, s/n – EN 118",Benavente,38.97451111,-8.814622222
D62,7764,Benfica,loja,"Estrada de Benfica, nº 350",Lisboa,38.74491667,-9.180138889
B89,9604,Benfica I,loja,Estrada de Benfica nº 402,Lisboa,38.747134,-9.186901
A61,2134,Benfica II,loja,"Avenida Gomes Pereira, 93/A",Lisboa,38.747192,-9.197816
E71,7745,Benfica V,loja,"Rua Jorge Barradas, nº 212",Lisboa,38.756125,-9.202869444
A52,2104,Boa Hora,loja,"Travessa da Boa Hora à Ajuda, nº 39",Lisboa,38.703474,-9.197153
D70,7854,Bobadela,loja,"Rua Martires do Tarrafal, 19 - Bobadela",Sacavém,38.80753,-9.10203
E77,7813,Bom Sucesso,loja,"Largo Catarina Eufémia, nº2",Bom Sucesso,38.90351,-9.04736
H48,8039,Boticas,loja,Rua do Municipio,Boticas,41.6874,-7.66727
A34,486,Braga,loja,"Rua Ponte Pedrinha, S/N",Braga,41.538237,-8.43239
